,measured_Tc,materials_family
Al0.75Ge0.25Nb0.003,20.7,others
Bi0.3Zn0.7,1.51,others
Pb0.36Sn0.64,7.75,others
Sb0.28Tl0.72,5.2,others
Nb0.33Ti0.67,9.3,others
In0.7Sn0.3,7.3,others
Bi0.65Pb0.35,8.8,others
Bi0.35Pb0.65,8.7,others
In1V3,13.9,others
Fe1Te0.65Se0.35,15.0,iron-based
Hg1,4.2,others
Ga0.1Ge0.9,5.3,others
Al1Ge1Nb3,19.5,others
Ag1.2Mo4.8S6,8.9,others
Pd0.5Ag0.5Th2,1.2,others
Ag0.8Ga0.2,6.5,others
Na1Fe2Se2,46.0,iron-based
Nb2.34Zr0.66Sn1,17.7,others
Ag0.7Mo3Se4,5.96,others
Mo3S4Sn0.6,14.2,others
Rb2Fe4Se5,32.0,iron-based
Cu1Mo4S5,11.0,others
Mo5.1Pb1S6,14.4,others
Pb1Mo5.1S4,14.51,others
B2Mg0.988Sc0.012,41.4,others
Ag1Nb3,8.28,others
Ba0.82K0.18Bi0.53Pb0.47,22.8,others
Bi2Te1,8.6,others
Bi1In2,5.584,others
C1.5La0.9Th0.1,12.9,others
Pb0.98Cu0.036Mo6S8,14.8,others
Nb3Ge1,23.2,others
Cu0.14Bi2Te3,6.0,others
Th1.6Lu0.4C3,10.9,others
La3Tl1,8.905,heavy-Fermion
Ag2F1,0.066,others
Ag2In1,2.11,others
Cs1I1,2.0,others
Nb1P1S1,12.5,others
Ag2Pb3S1,1.13,others
Y1Pd3B3C0.3,22.0,others
Al0.77Ge0.23Nb3,20.75,others
Ag3.3Al1,0.34,others
Ag4Ge1,0.85,others
K1Os2O6,9.60375,others
Ag5Pb2O6,0.0502,others
Pb1Te1Pb1S1,6.03,others
Y1Rh4Si2B1,9.0,others
Tl0.25Li0.25Ba2Ca2Cu3.5O7.955,117.0,cuprate
Eu3Bi2S4F4,1.425,others
Ag7F2H1O8,1.5,others
Y1Th3.4Ru0.6B4,9.4,heavy-Fermion
Mg0.3Hf1N1Cl1,25.0,others
Ag7F0.25N0.75O10.25,1.04,others
Bi6S5O8,2.4,others
Ca1Fe0.93Co0.07F1,9.1,others
Ca0.8La0.2Fe1As1H1,40.6,iron-based
Sr1.6Ba0.4Cu1F2O2,60.0,cuprate
Ag7O11N1,1.04,others
Si0.3V0.7,16.95,others
Au64Ge22Yb14,0.68,heavy-Fermion
Nb0.79Al0.16Ge0.05,21.0,others
Nb3Sn0.91Ga0.09,18.3,others
Ce0.16La0.84,8.7,others
Be0.86Pb0.14,9.7,others
Fe1Se0.75Te0.25,13.3,iron-based
Ga0.25Si0.75V3,18.6,others
Nb3Ga0.67Al0.33,18.1,others
