superconductors,measured_Tc,materials_family
Au0.978In0.022,0.0005,others
La1.92Sr0.08Cu0.99Ni0.01O4,0.001,cuprate
Gd0.9Pr0.95Ce0.15Cu1O4,0.001,cuprate
Pt1,0.004157,others
Ag0.9Ga0.1,0.0065,others
Ag0.81In0.19,0.0074,others
Gd0.71Sm1.14Ce0.15Cu1O4,0.01,cuprate
Au0.94In0.06,0.0111,others
Ag0.7Zn0.3,0.0125,others
Mg0.93Pb0.07,0.013,others
Al0.05Au0.95,0.0138,others
Sn0.97As0.025Te0.975,0.0138,others
Sn0.995Te1,0.0138,others
Ag0.865Sb0.135,0.014,others
W1,0.0157,others
Cd0.6Mg0.4,0.016,others
Mo0.7Nb0.3,0.016,others
Au0.93In0.07,0.0164,others
Fe0.043Ru0.957,0.018,others
Ag0.875Ga0.125,0.019,others
Ag0.885Sb0.115,0.019,others
Sn0.97As0.009Te0.991,0.0195,others
Ir0.3Ru0.2Rh0.5,0.02,others
Cu6La1,0.021,heavy-Fermion
Sn0.97As0.008Te0.992,0.022,others
Au0.92In0.08,0.0238,others
C8Rb1,0.0241,others
Ag0.845Sn0.155,0.025,others
Cu0.86Ge0.14,0.025,others
Ir0.75Rh0.25,0.026,others
Sn0.99Te1,0.02625,others
Al0.01Au0.92In0.07,0.0278,others
Ir0.815Rh0.185,0.028,others
Pr1V2Al20,0.029667,heavy-Fermion
Mo0.28Rh0.72,0.03,others
La0.8Pr0.2Se1,0.03,others
Ce0.98La0.02Pt3Si1,0.03,heavy-Fermion
Ce1.005Ni2.02Ge1.98,0.03,heavy-Fermion
As1Rh1.4,0.03,others
Cr0.57Mo0.43,0.03,others
Ir0.72Pt0.08Rh0.2,0.03,others
Ir0.8Rh0.2,0.03,others
Au0.915In0.085,0.031,others
Sn0.97As0.02Te0.98,0.0318,others
Au0.95Ga0.05,0.032,others
Ir0.775Pt0.175Rh0.05,0.032,others
Ir0.9Pd0.1,0.032,others
Ir0.7Ru0.25Rh0.5,0.033,others
Sn0.97As0.022Te0.978,0.0332,others
Al0.02Au0.92In0.06,0.034,others
Ir0.88Pd0.12,0.035,others
Au0.84In0.16,0.035,others
Ce1.005Ni2.025Ge1.975,0.035,heavy-Fermion
Ir0.83Pd0.045Pt0.125,0.037,others
Ag0.845Sb0.155,0.037,others
Os0.32Rh0.68,0.0376,others
Ir0.54Os0.1Rh0.36,0.038,others
Sn0.97As0.007Te0.993,0.038,others
Au0.91In0.09,0.0423,others
Au0.92Ga0.02In0.06,0.0425,others
Al0.03Au0.92In0.05,0.045,others
Al1Th2,0.045,heavy-Fermion
Cr0.476Mo0.524,0.045,others
Co0.004Ir0.996,0.046,others
Ir0.8Pt0.2,0.046,others
Sn0.985Te1,0.0466,others
Cu0.786Sb0.214,0.047,others
Ir0.91Pd0.09,0.047,others
